Number,Full Name,Google Scholar,Scopus,Subject
153,Потебня Олександр Опанасович (1835-1891),25,-,гуманітарні науки - Language & Linguistics
154,Рощупкін Сергій Павлович,25,19,фізика та математика - High Energy & Nuclear Physics
155,Туган-Барановський Михайло Іванович (1865-1919),25,-,економіка - Economics
156,Ушенко Юрій Олександрович,25,18,фізика та математика - Optics & Photonics
157,Черенько Людмила Миколаївна,25,-,економіка - Sociology
158,Щур Дмитро Вікторович,25,9,хімія - Nanotechnology
159,Амоша Олександр Іванович,24,-,економіка - Economics
160,Броварець Ольга Олександрівна,24,20,науки про життя - Biophysics
161,Бродин Олександр Михайлович,24,21,фізика та математика - Spectroscopy & Molecular Physics
162,Варзацький Олег Анатолійович,24,20,хімія - Inorganic Chemistry
163,Головач Юрій Васильович,24,20,фізика та математика - Mathematical Physics
164,Горошко Олена Ігорівна,24,1,суспільні науки - Communication
165,Ковальчук Володимир Іванович,24,19,хімія - Dispersion Chemistry
166,Колесниченко Ярослав Іванович,24,19,фізика та математика - Plasma & Fusion
167,Міщук Наталія Олексіївна,24,20,хімія - Dispersion Chemistry
168,Моляко Валентин Олексійович,24,-,педагогіка - Psychology
169,Нікітін Анатолій Глібович,24,12,фізика та математика - Mathematical Physics
170,Ніколаєнко Олександр Павлович,24,15,фізика та математика - Electromagnetism
171,Патон Борис Євгенович,24,4,технічні науки - Materials Engineering
172,Рибін Олександр Іванович,24,2,інформатика - Signal Processing
173,Сисоєва Світлана Олександрівна,24,-,педагогіка - Education
174,Франко Іван Якович (1856-1916),24,1,гуманітарні науки - Literature & Writing
175,Шарковський Олександр Миколайович,24,6,фізика та математика - Nonlinear Science
176,Білоус Анатолій Григорович,23,20,хімія - Nanotechnology
177,Бланк Ігор Олександрович,23,-,економіка - Finance
178,Валах Михайло Якович,23,19,фізика та математика - Condensed Matter Physics & Semiconductors
179,Величенко Олександр Борисович,23,20,хімія - Electrochemistry
180,Воляр Олександр Володимирович,23,17,фізика та математика - Optics & Photonics
181,Грабар Олександр Олексійович,23,18,фізика та математика - Optics & Photonics
182,Грушевський Михайло Сергійович (1866-1934),23,-,суспільні науки - History
183,Жук Олександр Іванович,23,16,фізика та математика - Astronomy & Astrophysics
184,Загороднюк Ігор Володимирович,23,1,науки про життя - Zoology
185,Заславський Олег Борисович,23,18,фізика та математика - Mathematical Physics
186,Кириченко Олександр Васильович,23,19,хімія - Organic Chemistry
187,Кізка Валерій Олександрович,23,17,фізика та математика - High Energy & Nuclear Physics
188,Кокозей Володимир Миколайович,23,25,хімія - Crystallography & Structural Chemistry
189,Королюк Володимир Семенович,23,4,фізика та математика - Probability & Statistics with Applications
190,Кочубей Анатолій Наумович,23,12,фізика та математика - Mathematical Physics
191,Ляпунов Олександр Михайлович (1857-1918),23,-,фізика та математика - Mathematical Physics
192,Месель-Веселяк Віктор Якович,23,-,економіка - Strategic Management
193,Морзе Наталія Вікторівна,23,1,педагогіка - Educational Technology
194,Мосякін Сергій Леонідович,23,6,науки про життя - Botany
195,Мриглод Ігор Миронович,23,19,фізика та математика - Condensed Matter Physics & Semiconductors
196,Осташ Богдан Омелянович,23,16,науки про життя - Genetics & Genomics
197,Парасюк Олег Васильович,23,21,хімія - Materials Engineering
198,Пересада Сергій Михайлович,23,18,інформатика - Automation & Control Theory
199,Поворознюк Владислав Володимирович,23,-,медицина - Gerontology & Geriatric Medicine
200,Понкратенко Олег Анатолійович,23,20,фізика та математика - High Energy & Nuclear Physics
201,Пономаренко Володимир Степанович,23,-,економіка - Strategic Management
202,Просвірнін Сергій Леонідович,23,18,фізика та математика - Electromagnetism
203,Рогачова Олена Іванівна,23,15,технічні науки - Materials Engineering
204,Рущицький Ярема Ярославович,23,12,фізика та математика - Materials Engineering
205,Степаньян Степан Григорович,23,21,фізика та математика - Spectroscopy & Molecular Physics
206,Строюк Олександр Леонідович,23,19,хімія - Materials Engineering
207,Сухомлинська Ольга Василівна,23,-,педагогіка - Education
208,Фрицький Ігор Олегович,23,27,хімія - Crystallography & Structural Chemistry
209,Хвесик Михайло Артемович,23,-,економіка - Sustainable Development
210,Шмальгаузен Іван Іванович (1884-1963),23,3,науки про життя - Zoology
211,Агапітов Олексій Володимирович,22,11,науки про Землю - Earth Sciences
212,Адамян Вадим Мовсесович,22,11,фізика та математика - Physics & Mathematics
213,Андронов Іван Леонідович,22,11,фізика та математика - Astronomy & Astrophysics
214,Базилевич Віктор Дмитрович,22,-,економіка - Economics
215,Барановський Олександр Іванович,22,-,економіка - Finance
216,Блюм Ярослав Борисович,22,15,науки про життя - Cell Biology
217,Бушуєв Сергій Дмитрович,22,-,інформатика - Strategic Management
218,Варналій Захарій Степанович,22,-,економіка - Finance
219,Василечко Леонід Орестович,22,18,хімія - Materials Engineering
220,Габович Олександр Маркович,22,17,фізика та математика - Condensed Matter Physics & Semiconductors
221,Голов Сергій Федорович,22,-,економіка - Accounting & Taxation
222,Дзюблюк Олександр Валерійович,22,-,економіка - Finance
223,Дідух Яків Петрович,22,9,науки про життя - Botany
224,Добров Геннадій Михайлович (1929-1989),22,2,економіка - Economics
225,Долішній Мар’ян Іванович (1936-2006),22,-,економіка - Sustainable Development
