Number,Full Name,Google Scholar,Scopus,Subject
13316,Онищук Вікторія Євгенівна,3,-,педагогіка - Physical Education & Sports Medicine
13317,Оніщик Юрій Віталійович,3,-,суспільні науки - Accounting & Taxation
13318,Онойко Олена Борисівна,3,1,науки про життя - Physiology
13319,Онопрейчук Дмитро Вячеславович,3,-,технічні науки - Materials Engineering
13320,Онопрієнко Дмитро Михайлович,3,-,аграрні науки - Agronomy & Crop Science
13321,Опанасенков Олександр Іванович,3,-,суспільні науки - Criminology| Criminal Law & Policing
13322,Опанасюк Надія Миколаївна,3,2,фізика та математика - Material Sciences
13323,Опанасюк Юлія Анатоліївна,3,-,економіка - Economics
13324,Опольська Наталя Михайлівна,3,-,суспільні науки - Law
13325,Опришкіна Марина Ігорівна,3,-,інформатика - Automation & Control Theory
13326,Орел Євгеній Станіславович,3,-,фізика та математика - Spectroscopy & Molecular Physics
13327,Оришака Олег Володимирович,3,-,технічні науки - Mechanical Engineering
13328,Оріхівський Тарас Володимирович,3,-,аграрні науки - Genetics & Genomics
13329,Орлик Василь Михайлович,3,-,суспільні науки - History
13330,Орлов Юрій Володимирович,3,-,суспільні науки - Criminology| Criminal Law & Policing
13331,Орлова Анна Анатоліївна,3,-,економіка - Special Education
13332,Орлова Катерина Євгеніївна,3,-,економіка - Economics
13333,Орлова Наталія Вікторівна,3,-,науки про життя - Biomedical Technology
13334,Орлович Анатолій Юхимович,3,-,технічні науки - Power Engineering
13335,Орловська Ольга Володимирівна,3,-,педагогіка - Foreign Language Learning
13336,Ортеменка Євгенія Павлівна,3,-,медицина - Pediatric Medicine
13337,Ортікова Наталія Володимирівна,3,-,суспільні науки - Social Work
13338,Осадчий Олександр Анатолійович,3,-,технічні науки - Materials Engineering
13339,Осадчук Ірина Віталіївна,3,-,економіка - Economics
13340,Осадчук Неоніла Іванівна,3,-,медицина - Public Health
13341,Осадько Олеся Юріївна,3,-,суспільні науки - Social Psychology
13342,Осипенко Катерина Сергіївна,3,1,технічні науки - Power Engineering
13343,Осколков Андрій Петрович,3,-,інформатика - Computer Networks & Wireless Communication
13344,Остапенко Вікторія Миколаївна,3,-,економіка - Finance
13345,Остапенко Лариса Вікторівна,3,-,гуманітарні науки - Music & Musicology
13346,Остапенко Наталія Валентинівна,3,-,технічні науки - Textile Engineering
13347,Остапенко Олександр Іванович,3,-,педагогіка - Physical Education & Sports Medicine
13348,Остапенко Юрій Олександрович,3,-,педагогіка - Special Education
13349,Остапенко (Степанова) Ольга Валеріївна,3,-,медицина - Physiology
13350,Остапчук Роман Миколайович,3,-,медицина - Orthopedic Medicine & Surgery
13351,Островерх Олександр Олегович,3,-,технічні науки - Mechanical Engineering
13352,Островерх Ольга Олександрівна,3,-,хімія - Combustion & Propulsion
13353,Островерхов Віктор Михайлович,3,-,економіка - Economics
13354,Островерхов Микола Якович,3,-,технічні науки - Power Engineering
13355,Островський Ігор Анатолійович,3,-,економіка - Economics
13356,Островський Мар’ян Володимирович,3,2,педагогіка - Physical Education & Sports Medicine
13357,Островський Петро Іванович,3,-,економіка - Marketing
13358,Осухівська Галина Михайлівна,3,-,інформатика - Mathematical Optimization
13359,Охота Віталій Іванович,3,-,економіка - International Business
13360,Охріменко Іван Олександрович,3,-,економіка - Finance
13361,Очкасов Олександр Борисович,3,-,технічні науки - Transportation
13362,Ошовський Віктор Іванович,3,-,медицина - Gynecology & Obstetrics
13363,Пабат Олександр Васильович,3,-,суспільні науки - Law
13364,Павленко Володимир Михайлович,3,-,хімія - Materials Engineering
13365,Павленко Іван Володимирович,3,-,технічні науки - Mechanical Engineering
13366,Павленко Лілія Василівна,3,-,педагогіка - Special Education
13367,Павленко Людмила Дмитрівна,3,-,економіка - Finance
13368,Павленко Тетяна Борисівна,3,-,суспільні науки - Library & Information Science
13369,Павликівська Ольга Іванівна,3,-,економіка - Accounting & Taxation
13370,Павлишин Андрій Володимирович,3,-,медицина - Surgery
13371,Павлова Лариса Василівна,3,-,гуманітарні науки - Communication
13372,Павлова Світлана Іванівна,3,-,економіка - Strategic Management
13373,Павлова Тетяна Володимирівна,3,-,гуманітарні науки - Ethnic & Cultural Studies
13374,Павловська Людмила Анатоліївна,3,-,економіка - Strategic Management
13375,Павловський Юрій Вікторович,3,2,фізика та математика - Condensed Matter Physics & Semiconductors
13376,Павлоцький Володимир Якович,3,-,економіка - Tourism & Hospitality
13377,Павлуша Тетяна Петрівна,3,-,суспільні науки - Library & Information Science
13378,Павлюк Валерій Валерійович,3,-,суспільні науки - Finance
13379,Павлюк Вікторія Ігорівна,3,-,педагогіка - Education
13380,Павлюк Мирослав Іванович,3,-,науки про Землю - Geology
13381,Падерін Іван Дмитрович,3,-,економіка - Economics
13382,Падлецька Наталія Ігорівна,3,-,інформатика - Medical Informatics
13383,Падовський Андрій Іванович,3,-,аграрні науки - Veterinary Medicine
13384,Паєвський Володимир Валерійович,3,1,педагогіка - Physical Education & Sports Medicine
13385,Паєнок Олександр Станіславович,3,-,медицина - Gynecology & Obstetrics
13386,Пазен Олег Юрійович,3,-,технічні науки - Materials Engineering
13387,Паламар Михайло Іванович,3,-,інформатика - Automation & Control Theory
13388,Паламарчук Анатолій Васильович,3,-,медицина - Endocrinology
13389,Паламарчук Віталій Дмитрович,3,-,аграрні науки - Agronomy & Crop Science
13390,Паламарчук Оксана Миколаївна,3,-,економіка - Economics
13391,Паленичак Олександра Василівна,3,-,економіка - Sustainable Development
13392,Паливода Ксенія Олегівна,3,3,науки про життя - Biochemistry
13393,Паливода Ольга Михайлівна,3,2,науки про життя - Biochemistry
13394,Палій Анатолій Павлович,3,-,аграрні науки - Veterinary Medicine
13395,Палій Наталія Сергіївна,3,-,економіка - Economics
13396,Палій Сергій Володимирович,3,1,інформатика - Educational Technology
13397,Пальчевич Галина Тадеївна,3,-,економіка - Finance
13398,Пальчук Оксана Володимирівна,3,-,економіка - Accounting & Taxation
13399,Пальчук Олена Ігорівна,3,-,економіка - Economics
13400,Пальчук Петро Миколайович,3,-,суспільні науки - Law
13401,Панас Ярослав Володимирович,3,-,економіка - Entrepreneurship & Innovation
13402,Панасенко Ганна Олександрівна,3,-,економіка - Finance
13403,Панасюк Ольга Вікторівна,3,-,економіка - Finance
13404,Панахид Галина Ярославівна,3,-,аграрні науки - Agronomy & Crop Science
13405,Панишко Сергій Дмитрович,3,-,суспільні науки - Archaeology
13406,Панік Леонід Олександрович,3,-,інформатика - Operations Research
13407,Панов Леонід Іванович,3,-,інформатика - Microelectronics & Electronic Packaging
13408,Паночишин Юрій Миколайович,3,-,інформатика - Fuzzy Systems
13409,Панченко Анна Володимирівна,3,-,економіка - Economics
13410,Панченко Леся Миколаївна,3,-,суспільні науки - Philosophy
13411,Панчишин Наталія Ярославівна,3,-,медицина - Public Health
13412,Панчишин Світлана Ярославна,3,2,хімія - Organic Chemistry
13413,Панчук Май Іванович,3,-,суспільні науки - Political Science
13414,Панькевич Олена Олександрівна,3,-,суспільні науки - Library & Information Science
13415,Паньків Марія Романівна,3,-,технічні науки - Mechanical Engineering
13416,Панькова Лілія Олександрівна,3,-,суспільні науки - Law
13417,Панькова Світлана Миколаївна,3,-,аграрні науки - Birds
13418,Папахов Олександр Юрійович,3,-,економіка - Transportation
13419,Папаяні Іван Володимирович,3,-,суспільні науки - Philosophy
13420,Папірник Руслан Богданович,3,-,технічні науки - Civil Engineering
13421,Папченко Вікторія Юріївна,3,-,технічні науки - Food Science & Technology
13422,Парамош Олена Вікторівна,3,-,медицина - Pharmacology & Pharmacy
13423,Паращенко Ірина Вікторівна,3,-,аграрні науки - Veterinary Medicine
13424,Партика Тетяна Володимирівна,3,-,аграрні науки - Soil Sciences
13425,Парфененко Юлія Вікторівна,3,-,інформатика - Databases & Information Systems
13426,Парфенова Лариса Геннадіївна,3,-,педагогіка - Education
13427,Парфенюк Сергій Миколайович,3,-,технічні науки - Mining & Mineral Resources
13428,Пархоменко Ольга Петрівна,3,-,економіка - Accounting & Taxation
13429,Пархоменко Юрій Михайлович,3,-,інформатика - Automation & Control Theory
13430,Пасальський Богдан Кирилович,3,-,технічні науки - Food Science & Technology
13431,Пасемко Галина Павлівна,3,-,економіка - Economics
13432,Пасєка Анна Сергіївна,3,-,економіка - Marketing
13433,Пасічний Микола Дмитрович,3,-,економіка - Finance
13434,Пасічник Андрій Володимирович,3,-,суспільні науки - Law
13435,Пасічник Вікторія Михайлівна,3,-,педагогіка - Physical Education & Sports Medicine
13436,Паска Ігор Миколайович,3,-,економіка - Economics
13437,Пасмор Надія Петрівна,3,-,суспільні науки - Library & Information Science
13438,Пастернак Тетяна Анатоліївна,3,-,суспільні науки - Language & Linguistics
13439,Пастухов Артем Олегович,3,1,науки про життя - Nanotechnology
13440,Пасько Ольга Миколаївна,3,-,педагогіка - Educational Psychology & Counseling
13441,Пасько Ольга Олександрівна,3,-,педагогіка - Education
13442,Патер Іван Григорович,3,-,суспільні науки - History
13443,Патика Микола Володимирович,3,-,аграрні науки - Agronomy & Crop Science
13444,Патрєва Людмила Семенівна,3,-,аграрні науки - Animal Husbandry
13445,Пахольчук Ольга Петрівна,3,-,медицина - Communicable Diseases
13446,Пахомова Наталія Георгіївна,3,-,педагогіка - Special Education
13447,Пахомова Юлія Сергіївна,3,-,науки про життя - Biomedical Technology
13448,Пацай Богдан Дмитрович,3,-,інформатика - Databases & Information Systems
13449,Пацаранюк Юлія Михайлівна,3,-,гуманітарні науки - Language & Linguistics
13450,Пацева Марина Анатоліївна,3,-,науки про життя - Physiology
13451,Пашевін Денис Олександрович,3,1,науки про життя - Physiology
13452,Пашко Оксана Володимирівна,3,-,гуманітарні науки - Literature & Writing
13453,Пашова Сніжана Миколаївна,3,-,економіка - Finance
13454,Пащенко Ірина Володимирівна,3,-,медицина - Pediatric Medicine
13455,Пащенко Наталія Олександрівна,3,1,педагогіка - Physical Education & Sports Medicine
13456,Пащенко Олександр Миколайович,3,-,суспільні науки - Law
13457,Пащенко Олена Вікторівна,3,-,педагогіка - Education
13458,Пащенко Ольга Петрівна,3,-,економіка - Strategic Management
13459,Пащенко Світлана Юріївна,3,-,педагогіка - Psychology
13460,Педан Віктор Іванович,3,-,суспільні науки - Criminology| Criminal Law & Policing
13461,Педаченко Юрій Євгенович,3,-,медицина - Neurosurgery
13462,Педько Андрій Борисович,3,-,економіка - Economics
13463,Пелехатий Андрій Олегович,3,-,економіка - Finance
13464,Пеліпенко Євген Сергійович,3,-,технічні науки - Mechanical Engineering
13465,Перга Тетяна Юріївна,3,-,суспільні науки - Sustainable Development
13466,Перебойчук Оксана Петрівна,3,-,науки про життя - Botany
13467,Перевалова Людмила Вікторівна,3,-,суспільні науки - Law
13468,Перевезій Віталій Олександрович,3,-,суспільні науки - Political Science
13469,Перегрим Олена Миколаївна,3,-,науки про життя - Botany
13470,Перегудова Тетяна Вячеславівна,3,-,економіка - Human Resources & Organizations
13471,Передерій Наталія Олександрівна,3,-,економіка - Economics
13472,Перепелиця Олександр Анатолійович,3,-,педагогіка - Physical Education & Sports Medicine
13473,Перепелиця Олеся Орестівна,3,-,медицина - Medicinal Chemistry
13474,Перепелкін Микола Вікторович,3,2,технічні науки - Nonlinear Science
13475,Перерва Юлія Мколаївна,3,-,суспільні науки - Law
13476,Пересьолков Олександр Романович,3,-,технічні науки - Power Engineering
13477,Перконос (Тарануха) Інна Юріївна,3,-,економіка - Finance
13478,Перцева Наталія Олегівна,3,-,медицина - Diabetes
13479,Першегуба Ярослав Володимирович,3,-,педагогіка - Physical Education & Sports Medicine
13480,Першко Галина Олексіївна,3,-,суспільні науки - Social Work
13481,Петербургський Володимир Федорович,3,-,медицина - Urology & Nephrology
13482,Петік Павло Федорович,3,-,технічні науки - Food Science & Technology
13483,Петрашенко Вікторія Олександрівна,3,-,медицина - Pediatric Medicine
13484,Петренко Віктор Олегович,3,-,технічні науки - Civil Engineering
13485,Петренко Ірина Анатоліївна,3,-,технічні науки - Power Engineering
13486,Петренко Людмила Анатоліївна,3,-,економіка - Development Economics
13487,Петренко Надія Олександрівна,3,-,технічні науки - Mechanical Engineering
13488,Петренко Світлана Віталіївна,3,-,фізика та математика - Geometry
13489,Петренко (Горбатенко) Юлія Іванівна,3,-,педагогіка - Physical Education & Sports Medicine
13490,Петриків Анна Володимирівна,3,-,економіка - Finance
13491,Петрикова Валентина Теодорівна,3,-,суспільні науки - Communication
13492,Петринич Оксана Анатоліївна,3,-,медицина - Cardiology
13493,Петриченко Олександр Анатолійович,3,-,економіка - Development Economics
13494,Петров Андрій Володимирович,3,-,медицина - Rheumatology
13495,Петров Олександр Олександрович,3,-,педагогіка - Education
13496,Петрова Людмила Григорівна,3,-,суспільні науки - Library & Information Science
13497,Петрова Юлія Іванівна,3,-,суспільні науки - History
13498,Петровська Тетяна Ериківна,3,-,економіка - Strategic Management
13499,Петровський Микола Васильович,3,-,гуманітарні науки - Language & Linguistics
13500,Петровський Сергій Степанович,3,-,педагогіка - Educational Technology
13501,Петрук Ніна Сергіївна,3,-,медицина - Physiology
13502,Петрук Тетяна Вікторівна,3,-,науки про життя - Microbiology
13503,Петруненко Ярослав Вікторович,3,-,суспільні науки - Law
13504,Петрушин Олександр Геннадійович,3,-,науки про Землю - Earth Sciences
13505,Петрушинець Лідія Вячеславівна,3,2,технічні науки - Materials Engineering
13506,Петрушка Тетяна Олексіївна,3,-,економіка - Entrepreneurship & Innovation
13507,Петрушко Марина Павлівна,3,-,науки про життя - Biomedical Technology
13508,Петрушов Андрій Васильович,3,-,педагогіка - Physiology
13509,Петухов Дмитро Миколайович,3,2,науки про життя - Biochemistry
13510,Петухова Олена Анатоліївна,3,-,технічні науки - Water Supply & Treatment
13511,Печенюк Андрій Васильович,3,-,економіка - Economics
13512,Пилипенко Олексій Іванович,3,1,хімія - Electrochemistry
13513,Пилипенко Тетяна Миколаївна,3,-,хімія - Corrosion
13514,Пилипець Віктор Іванович,3,-,технічні науки - Mining & Mineral Resources
13515,Пилипів Любомир Дмитрович,3,-,технічні науки - Transportation
13516,Пилипчук Олександр Сергійович,3,2,фізика та математика - Condensed Matter Physics & Semiconductors
13517,Пилипчук (Волкова) Людмила Львівна,3,-,науки про життя - Ecology
13518,Пильов Володимир Олександрович,3,-,технічні науки - Mechanical Engineering
13519,Пилявець Віктор Миколайович,3,-,економіка - Economics
13520,Пиріг Ян Іванович,3,-,технічні науки - Materials Engineering
13521,Пиршев Кирило Олександрович,3,2,науки про життя - Biochemistry
13522,Писаренко Надія Борисівна,3,-,суспільні науки - Law
13523,Письменний Олександр Анатолійович,3,-,економіка - Marketing
13524,Пиц Богдан Романович,3,-,гуманітарні науки - Music & Musicology
13525,Півторак Діана Олександрівна,3,-,інформатика - Computer Vision & Pattern Recognition
13526,Півторак Катерина Володимирівна,3,-,медицина - Gastroenterology & Hepatology
13527,Підгаєць Сергій Васильович,3,-,економіка - Finance
13528,Підгурська Тетяна Вікторівна,3,-,інформатика - Computer Networks & Wireless Communication
13529,Підгурський Микола Іванович,3,-,технічні науки - Mechanical Engineering
13530,Піддячий Микола Іванович,3,-,педагогіка - Education
13531,Підлипська Аліна Миколаївна,3,-,гуманітарні науки - Drama & Theater Arts
13532,Пік Андрій Іванович,3,-,інформатика - Computer Graphics
13533,Пікалова Валентина Валеріївна,3,-,педагогіка - Educational Technology
13534,Пімоненко Тетяна Володимирівна,3,-,економіка - Sustainable Development
13535,Пінчук Андрій Петрович,3,-,аграрні науки - Forests & Forestry
13536,Піріашвілі Олександр Борисович,3,-,економіка - Entrepreneurship & Innovation
13537,Піскун Альона Валеріївна,3,-,економіка - Operations Research
13538,Піскунов Роман Олександрович,3,1,економіка - Finance
13539,Пісоцька Людмила Анатоліївна,3,-,медицина - Pathology
13540,Пістун Євген Павлович,3,1,інформатика - Databases & Information Systems
13541,Пітак Олег Ярославович,3,1,хімія - Materials Engineering
13542,Пітак Ярослав Миколайович,3,1,хімія - Ceramic Engineering
13543,Пітик Оксана Вячеславівна,3,-,економіка - Marketing
13544,Пітюлич Михайло Михайлович,3,-,економіка - Entrepreneurship & Innovation
13545,Піхтірьова Аліна Володимирівна,3,-,аграрні науки - Animal Husbandry
13546,Пічугіна Тетяна Сергіївна,3,-,економіка - Strategic Management
13547,Пішун Сергій Григорович,3,-,педагогіка - Education
13548,Плаксієнко Ірина Леонідівна,3,2,хімія - Analytical Chemistry
13549,Пласконь Світлана Андріївна,3,-,економіка - Economics
13550,Пластунов Борис Анатолійович,3,-,медицина - Public Health
13551,Платонова Євгенія Олегівна,3,-,суспільні науки - Law
13552,Плачинда Ольга Євгенівна,3,-,інформатика - -
13553,Плашихін Сергій Володимирович,3,-,технічні науки - Ecology
13554,Племянніков Микола Миколайович,3,-,хімія - Ceramic Engineering
13555,Плєснецов Сергій Юрійович,3,-,технічні науки - Mechanical Engineering
13556,Плотницька Світлана Іванівна,3,-,економіка - Development Economics
13557,Плотніков Анатолій Дмитрович,3,1,фізика та математика - Computer Security & Cryptography
13558,Плотнікова Марія Володимирівна,3,-,суспільні науки - Law
13559,Плюгін Владислав Євгенович,3,-,технічні науки - Power Engineering
13560,Плюта Ірина Юхимівна,3,-,економіка - Sustainable Development
13561,Плюхін Олексій Геннадійович,3,2,фізика та математика - Nonlinear Science
13562,Плющай Інна Вячеславівна,3,2,фізика та математика - Condensed Matter Physics & Semiconductors
13563,Плющай Олександр Іванович,3,3,фізика та математика - Material Sciences
13564,Пляченко Тетяна Миколаївна,3,-,гуманітарні науки - Music & Musicology
13565,Побережний Роман Олегович,3,-,економіка - Strategic Management
13566,Поворознюк Оксана Анатоліївна,3,-,інформатика - Medical Informatics
13567,Погасій Сергій Олександрович,3,-,економіка - Tourism & Hospitality
13568,Погорєлов Ігор Миколайович,3,-,економіка - Accounting & Taxation
13569,Погорєлов Максим Володимирович,3,2,медицина - Biomedical Technology
13570,Погорєлова Тетяна Олексіївна,3,-,економіка - Economics
13571,Погорєлова Тетяна Павлівна,3,-,педагогіка - Educational Psychology & Counseling
13572,Погорєловська Ірина Дем’янівна,3,-,педагогіка - Educational Technology
13573,Погребенник Володимир Федорович,3,-,гуманітарні науки - Literature & Writing
13574,Погребняк Борис Іванович,3,-,інформатика - Computer Networks & Wireless Communication
13575,Погрібна Вікторія Леонідівна,3,-,суспільні науки - Sociology
13576,Погрібний Дмитро Ігорович,3,-,суспільні науки - Law
13577,Поддубна Марина Володимирівна,3,-,технічні науки - Thermal Sciences
13578,Подлєсна Василина Георгіївна,3,-,економіка - Economics
13579,Поднебенна Світлана Костянтинівна,3,-,технічні науки - Power Engineering
13580,Подольська Валентина Олексіївна,3,-,економіка - Accounting & Taxation
13581,Подоляка Анатолій Миколайович,3,-,суспільні науки - Law
13582,Подолянчук Станіслав Вікторович,3,1,педагогіка - Educational Administration
13583,Подорванов Володимир Вікторович,3,-,науки про життя - Physiology
13584,Позняк Світлана Іванівна,3,-,суспільні науки - Social Psychology
13585,Покась Лілія Антонівна,3,-,педагогіка - Education
13586,Покидько Марія Іванівна,3,-,медицина - Surgery
13587,Полетайкін Олексій Миколайович,3,-,інформатика - Transportation
13588,Полєвода Юрій Алікович,3,-,технічні науки - Mechanical Engineering
13589,Полив’янчук Андрій Павлович,3,-,технічні науки - Mechanical Engineering
13590,Полікаровських Олексій Ілліч,3,-,інформатика - Signal Processing
13591,Полін Євгеній Леонідович,3,-,інформатика - -
13592,Політова Анна Сергіївна,3,-,суспільні науки - Criminology| Criminal Law & Policing
13593,Поліщук Дмитро Михайлович,3,1,фізика та математика - Electromagnetism
13594,Поліщук Євгенія Анатоліївна,3,-,економіка - Finance
13595,Поліщук Ігор Костянтинович,3,-,науки про життя - Zoology
13596,Поліщук Олена Борисівна,3,-,гуманітарні науки - Literature & Writing
13597,Поліщук Сергій Володимирович,3,-,науки про життя - Biophysics
13598,Поліщук Сергій Тимофійович,3,-,інформатика - Human Computer Interaction
13599,Поліщук Юлія Валеріївна,3,-,хімія - Electrochemistry
13600,Поліщук Юрій Миколайович,3,-,суспільні науки - Political Science
13601,Положенець Віктор Михайлович,3,-,аграрні науки - Plant Pathology
13602,Полозенко Оксана Василівна,3,-,педагогіка - Social Work
13603,Полчанов Андрій Юрійович,3,-,економіка - Finance
13604,Польшакова Ольга Михайлівна,3,-,інформатика - Automation & Control Theory
13605,Полякова Марина Вячеславівна,3,2,інформатика - Artificial Intelligence
13606,Поляковський Василь Михайлович,3,-,аграрні науки - Animal Husbandry
13607,Поляничко Анжела Олександрівна,3,-,педагогіка - Social Work
13608,Полярус Олександр Васильович,3,-,інформатика - Signal Processing
13609,Понедільчук (Комар) Тетяна Василівна,3,-,економіка - Finance
13610,Пономаренко Роман Володимирович,3,-,технічні науки - Combustion & Propulsion
13611,Пономаренко Сергій Миколайович,3,-,технічні науки - Mechanical Engineering
13612,Пономарьов Володимир Іванович,3,-,медицина - Psychiatry
13613,Поп Михайло Михайлович,3,-,фізика та математика - Condensed Matter Physics & Semiconductors
13614,Поп Оксана Михайлівна,3,-,фізика та математика - Condensed Matter Physics & Semiconductors
13615,Попельнух Віктор Миколайович,3,-,технічні науки - Structural Engineering
13616,Попелюк Олександра-Марія Василівна,3,-,медицина - Physiology
13617,Поперека Катерина Дмитрівна,3,-,інформатика - Signal Processing
13618,Поперечний Степан Іванович,3,-,економіка - Marketing
13619,Попик Ірина Миколаївна,3,-,аграрні науки - Biochemistry
13620,Попільніченко Сергій Валентинович,3,2,хімія - Organic Chemistry
13621,Попко Євгенія Юріївна,3,-,економіка - Accounting & Taxation
13622,Поплюйко (Милейко) Ярослава Валеріївна,3,-,економіка - Finance
13623,Попов Борис Михайлович (1913-1942),3,-,науки про життя - Zoology
13624,Попов Микола Олексійович,3,-,економіка - Entrepreneurship & Innovation
13625,Попова Наталя Олександрівна,3,-,економіка - Entrepreneurship & Innovation
13626,Попова Олена Володимирівна,3,-,педагогіка - Education
13627,Попова Тетяна Михайлівна,3,-,медицина - Physiology
13628,Попович Дмитро Романович,3,2,фізика та математика - Algebra
13629,Попович Олександр Ілліч,3,-,педагогіка - Physical Education & Sports Medicine
13630,Попович Олександра Олександрівна,3,-,медицина - Communicable Diseases
13631,Попович Тамара Миколаївна,3,-,економіка - Economics
13632,Попович Тетяна Анатоліївна,3,-,хімія - Polymers & Plastics
13633,Попрозман Наталія Василівна,3,-,економіка - Economics
13634,Порев Сергій Миколайович,3,-,педагогіка - Education
13635,Порєва Анна Сергіївна,3,1,інформатика - Medical Informatics
13636,Порожан Євгенія Олександрівна,3,-,науки про життя - Biomedical Technology
13637,Пороннік Оксана Олександрівна,3,-,науки про життя - Biotechnology
13638,Пороховський Василь Володимирович,3,-,фізика та математика - Pure & Applied Mathematics
13639,Порошин Сергій Михайлович,3,-,інформатика - Acoustics & Sound
13640,Портнова Галина Олександрівна,3,-,економіка - Finance
13641,Посикалюк Олег Олександрович,3,-,суспільні науки - Law
13642,Постніков Володимир Станіславович,3,-,економіка - Sociology
13643,Постнов Геннадій Михайлович,3,-,технічні науки - Food Science & Technology
13644,Постовітенко Катерина Павлівна,3,-,медицина - Biochemistry
13645,Постолакі Леся Іванівна,3,1,фізика та математика - Mathematical Physics
13646,Потаніна Тетяна Володимирівна,3,-,технічні науки - Mathematical Optimization
13647,Потап Олег Юхимович,3,-,інформатика - Automation & Control Theory
13648,Потапенко Сергій Дмитрович,3,-,економіка - Economics
13649,Потапюк Ірина Петрівна,3,-,економіка - Marketing
13650,Потетенко Олег Васильович,3,-,технічні науки - Mechanical Engineering
13651,Потіха Наталія Ярославівна,3,-,медицина - Physiology
13652,Похилько Валерій Іванович,3,-,медицина - Pediatric Medicine
13653,Похильченко Ольга Петрівна,3,-,науки про життя - Botany
13654,Поченчук Галина Михайлівна,3,-,економіка - Finance
13655,Починок Віталій Михайлович,3,-,аграрні науки - Agronomy & Crop Science
13656,Прибєгін Сергій Георгійович,3,-,фізика та математика - Mathematical Analysis
13657,Приварникова Ірина Юліївна,3,-,економіка - Entrepreneurship & Innovation
13658,Пригодій Микола Анатолійович,3,-,педагогіка - Education
13659,Пригожев Олександр Сергійович,3,-,інформатика - -
13660,Прийма Любов Романівна,3,-,економіка - Economics
13661,Прийма Олег Богданович,3,-,медицина - Physiology
13662,Прийма Сергій Васильович,3,-,суспільні науки - Law
13663,Прийма Сергій Миколайович,3,-,педагогіка - Educational Technology
13664,Приймак Сергій Георгійович,3,-,педагогіка - Physical Education & Sports Medicine
13665,Прикарпатський Анатолій Карольович,3,-,фізика та математика - Mathematical Analysis
13666,Прилепа Наталія Валеріївна,3,-,економіка - Tourism & Hospitality
13667,Приліпко Тетяна Миколаївна,3,-,аграрні науки - Animal Husbandry
13668,Принь Олександр Віталійович,3,-,суспільні науки - Archaeology
13669,Присяжнюк Оксана Федорівна,3,-,економіка - Economics
13670,Присяжнюк Олег Іванович,3,-,аграрні науки - Agronomy & Crop Science
13671,Притула Наталія Валеріївна,3,-,економіка - International Business
13672,Притула (Бойко) Зоя Василівна,3,-,фізика та математика - Algebra
13673,Приходько Олександр Борисович,3,-,медицина - Medical Biology
13674,Приходько Юрій Євгенович,3,4,фізика та математика - Probability & Statistics with Applications
13675,Пришва Олесь Борисович,3,-,педагогіка - Physical Education & Sports Medicine
13676,Пришко Зоряна Романівна,3,-,медицина - Dentistry
13677,Пришляк Антоніна Михайлівна,3,-,медицина - Physiology
13678,Прищенко Світлана Валеріївна,3,-,гуманітарні науки - Visual Arts
13679,Пріб Гліб Анатолійович,3,-,медицина - Psychology
13680,Провозін Микола Васильович,3,-,економіка - Marketing
13681,Прозор Олена Петрівна,3,-,педагогіка - Educational Technology
13682,Прозорова Наталія Володимирівна,3,-,аграрні науки - Birds
13683,Прокопенко Валерія Юріївна,3,-,економіка - Finance
13684,Прокопенко Лілія Сергіївна,3,-,суспільні науки - Library & Information Science
13685,Прокопенко Наталія Семенівна,3,-,економіка - Finance
13686,Прокопець Людмила Володимирівна,3,-,економіка - Human Resources & Organizations
13687,Прокопович Лада Валеріївна,3,-,гуманітарні науки - Visual Arts
13688,Пронкевич Олександр Вікторович,3,-,гуманітарні науки - Literature & Writing
13689,Просандєєва Людмила Євгеніївна,3,-,гуманітарні науки - Educational Psychology & Counseling
13690,Проскурня Олена Михайлівна,3,-,економіка - Economics
13691,Проскурняк Роман Васильович,3,2,технічні науки - Materials Engineering
13692,Протас Надія Михайлівна,3,-,економіка - Economics
13693,Протасов Роман Васильович,3,-,технічні науки - Materials Engineering
13694,Прохорова Світлана Ігорівна,3,-,науки про життя - Ecology
13695,Прохоровська Світлана Анатоліївна,3,-,економіка - Human Resources & Organizations
13696,Процай Наталія Тимофіївна,3,-,інформатика - Theoretical Computer Science
13697,Процак Тетяна Василівна,3,-,медицина - Physiology
13698,Процевський Віктор Олександрович,3,-,суспільні науки - Law
13699,Проценко Владислав Олександрович,3,-,технічні науки - Mechanical Engineering
13700,Проценко Сергій Борисович,3,-,технічні науки - Civil Engineering
13701,Процишин Оксана Романівна,3,-,економіка - Marketing
13702,Проць Ярослав Іванович,3,-,технічні науки - Robotics
13703,Процюк Тетяна Леонідівна,3,-,медицина - Pediatric Medicine
13704,Пругло Євген Сергійович,3,-,медицина - Pharmacology & Pharmacy
13705,Прудніков Ігор Михайлович,3,3,науки про життя - Physiology
13706,Прус Наталія Володимирівна,3,-,економіка - Economics
13707,Прус Руслана Богданівна,3,-,інформатика - Computer Security & Cryptography
13708,Пруцакова Ольга Леонідівна,3,-,педагогіка - Education
13709,Пташник Михайло Михайлович,3,-,аграрні науки - Agronomy & Crop Science
13710,Пугаченко Ольга Борисівна,3,-,економіка - Accounting & Taxation
13711,Пудичева Галина Олександрівна,3,-,економіка - Sustainable Development
13712,Пузік Людмила Михайлівна,3,-,аграрні науки - Food Science & Technology
